Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,38.564999,42.412498,38.115002,42.259998,40.591652,2017165200
2017-11-01,42.467499,44.060001,41.320000,42.962502,41.266426,2402653600
2017-12-01,42.487499,44.299999,41.615002,42.307499,40.783367,2124735200
2018-01-01,42.540001,45.025002,41.174999,41.857498,40.349579,2638717600
2018-02-01,41.792500,45.154999,37.560001,44.529999,42.925804,3711577200
2018-03-01,44.634998,45.875000,41.235001,41.945000,40.598782,2854910800
2018-04-01,41.660000,44.735001,40.157501,41.314999,39.988998,2664617200
2018-05-01,41.602501,47.592499,41.317501,46.717499,45.218109,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,44.964947,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,46.223221,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,55.293457,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,55.026672,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,53.349594,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,43.530891,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,38.585068,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,40.713184,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,42.354534,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,46.663288,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,49.296772,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,43.007851,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,48.808441,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,52.537140,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,51.476730,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,55.442406,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,61.579021,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,66.156113,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,72.909500,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,76.847343,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,67.871758,3019851200
2020-03-01,70.570000,76.000000,53.152500,63.572498,63.286770,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,73.119873,1485136100
2020-05-01,71.562500,81.059998,71.462502,79.485001,79.127747,2806405200
2020-06-01,79.437500,93.095001,79.302498,91.199997,91.035858,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,106.068756,3020496000
2020-08-01,108.199997,131.000000,107.892502,129.039993,128.807755,4070623100
2020-09-01,132.759995,137.979996,103.099998,115.809998,115.809998,3885767100
